disno,year,event_name_raw,storm_name,local_name,total_affected,total_deaths,total_damage_usd
2000-0715-PHL,2000,Bebinca (Seniang),BEBINCA,SENIANG,1747872.0,94.0,56471000.0
2000-0257-PHL,2000,Biring,BIRING,,235889.0,12.0,2188000.0
2000-0397-PHL,2000,Kai-Tak (Edeng),KAI-TAK,EDENG,1483321.0,75.0,46931000.0
2000-0396-PHL,2000,Kirogi,KIROGI,,120000.0,11.0,13662000.0
2000-0788-PHL,2000,Rumbia (Toyang),RUMBIA,TOYANG,164093.0,48.0,1822000.0
2000-0706-PHL,2000,Xangsane (Reming),XANGSANE,REMING,2436256.0,154.0,30968000.0
2001-0054-PHL,2001,Auring,AURING,,100084.0,55.0,10630000.0
2001-0758-PHL,2001,Kajiki (Quedan),KAJIKI,QUEDAN,54840.0,6.0,170000.0
2001-0614-PHL,2001,Lingling (Nanang),LINGLING,NANANG,1060147.0,290.0,40215000.0
2001-0319-PHL,2001,Utor (Feria),UTOR,FERIA,1902654.0,232.0,121469000.0
2002-0408-PHL,2002,Chata'an,CHATAAN,,700041.0,33.0,1744000.0
2002-0423-PHL,2002,Halong (Anday),HALONG,ANDAY,11000.0,62.0,9878000.0
2002-0528-PHL,2002,Rammasun (Florita),RAMMASUN,FLORITA,3000.0,7.0,
2003-0822-PHL,2003,Gilas (Koni),GILAS,KONI,116602.0,8.0,2556000.0
2003-0346-PHL,2003,Imbudo,IMBUDO,,14280.0,21.0,45134000.0
2003-0823-PHL,2003,Ineng,INENG,,3748.0,,249000.0
2003-0824-PHL,2003,Kabayan,KABAYAN,,155147.0,,1127000.0
2003-0258-PHL,2003,Linfa (Chedeng),LINFA,CHEDENG,13909.0,51.0,6821000.0
2003-0290-PHL,2003,Soudelor (Egay),SOUDELOR,EGAY,127130.0,13.0,4186000.0
2004-0435-PHL,2004,Aere (Marce/20W),AERE,MARCE/20W,1058849.0,35.0,
2004-0602-PHL,2004,Merbok (Violeta),MERBOK,VIOLETA,2014.0,29.0,
2004-0309-PHL,2004,Mindulle (Igme/10W),MINDULLE,IGME/10W,385012.0,28.0,32662000.0
2004-0580-PHL,2004,Muifa (Unding/29W),MUIFA,UNDING/29W,838674.0,104.0,9965000.0
2004-0618-PHL,2004,Nanmadol (Yoyong/30W),NANMADOL,YOYONG/30W,70488.0,8.0,56466000.0
2004-0218-PHL,2004,Nida (Dindo/04W),NIDA,DINDO/04W,714.0,31.0,1661000.0
2004-0609-PHL,2004,Winnie,WINNIE,,881023.0,1619.0,129871000.0
2005-0540-PHL,2005,Damrey,DAMREY,,20000.0,16.0,3213000.0
2005-0120-PHL,2005,Roke (Auring/02W),ROKE,AURING/02W,11.0,18.0,
2006-0362-PHL,2006,Bilis,BILIS,,51680.0,37.0,4668000.0
2006-0251-PHL,2006,Chanchu (Caloy),CHANCHU,CALOY,42000.0,41.0,5179000.0
2006-0600-PHL,2006,Cimaron (Paeng),CIMARON,PAENG,283021.0,34.0,14124000.0
2006-0648-PHL,2006,Durian (Reming),DURIAN,REMING,2562517.0,1399.0,103322000.0
2006-0415-PHL,2006,Henry,HENRY,,476027.0,8.0,1004000.0
2006-0388-PHL,2006,Kaemi,KAEMI,,200355.0,4.0,733000.0
2006-0410-PHL,2006,Typhoon 'Prapiroon' (Henry/T0606),PRAPIROON,HENRY/T0606,15000.0,6.0,210068000.0
2006-0610-PHL,2006,Queenie (Chebi),QUEENIE,CHEBI,21260.0,6.0,
2006-0667-PHL,2006,Utor (Seniang),UTOR,SENIANG,327542.0,42.0,
2006-0517-PHL,2006,Xangsane (Milenyo),XANGSANE,MILENYO,3842406.0,228.0,175835000.0
2007-0346-PHL,2007,Chedeng and Dodong,CHEDENG AND DODONG,,921462.0,7.0,744000.0
2007-0668-PHL,2007,Goring,GORING,,64000.0,1.0,
2007-0578-PHL,2007,Hagibis (Lando) (24),HAGIBIS,LANDO,35333.0,20.0,1513000.0
2007-0560-PHL,2007,Kabayan (Peipah),KABAYAN,PEIPAH,33884.0,8.0,4495000.0
2007-0463-PHL,2007,Lekima (Hanna),LEKIMA,HANNA,2000.0,8.0,
2007-0576-PHL,2007,Mitag (Mina) (23),MITAG,MINA,443115.0,29.0,7565000.0
2007-0380-PHL,2007,Sepat,SEPAT,,380000.0,3.0,744000.0
2007-0457-PHL,2007,Wipha/Goring,WIPHA,,30000.0,2.0,
2008-0249-PHL,2008,Typhoon Fengshen (Franck),FENGSHEN,FRANCK,4785460.0,644.0,414790000.0
2008-0292-PHL,2008,"Tropical Storm ""Fung-Wong"" (Igme)",FUNG-WONG,IGME,22081.0,10.0,58000.0
2008-0426-PHL,2008,"Typhoon ""Hagupit"" (Nina)",HAGUPIT,NINA,46132.0,37.0,10811000.0
2008-0197-PHL,2008,Halong (Cosme),HALONG,COSME,1496668.0,64.0,144493000.0
2008-0621-PHL,2008,"Typhoon ""Helen""",HELEN,,31130.0,2.0,214000.0
2008-0623-PHL,2008,"TRopical storm ""Higos"" (Pablo)",HIGOS,PABLO,27683.0,1.0,
2008-0329-PHL,2008,"Tropical storm ""Kammuri"" (Julian)",KAMMURI,JULIAN,4498.0,2.0,
2008-0540-PHL,2008,"Tropical Storm ""Maysak"" (Quinta-Sony)",MAYSAK,QUINTA-SONY,474.0,19.0,
2008-0155-PHL,2008,"Typhoon ""Neoguri"" (Ambo)",NEOGURI,AMBO,,1.0,23311000.0
2008-0369-PHL,2008,"Tropical storm ""Nuri"" (Karen)",NURI,KAREN,429463.0,38.0,49348000.0
2008-0609-PHL,2008,"TYphoon ""Rammasun"" (Butchoy)",RAMMASUN,BUTCHOY,8390.0,1.0,408000.0
2009-0174-PHL,2009,"Typhhon ""Dante"" (Kujira)",DANTE,KUJIRA,383465.0,29.0,37739000.0
2009-0165-PHL,2009,"Typhoon ""Emong"" (Chanom)",EMONG,CHANOM,401007.0,77.0,44365000.0
2009-0239-PHL,2009,"Topical Storm ""Feria"" (Nangka)",FERIA,NANGKA,110405.0,16.0,6260000.0
2009-0606-PHL,2009,Goni (Jolina),GONI,JOLINA,221422.0,14.0,4223000.0
2009-0265-PHL,2009,"Tropical Storm ""Isang"" (Molave)",ISANG,MOLAVE,248058.0,5.0,
2009-0360-PHL,2009,Tropical storm Labuyo (Dujuan),LABUYO,DUJUAN,95700.0,1.0,
2009-0373-PHL,2009,Tropical depression Maring,MARING,,388373.0,15.0,9216000.0
2009-0478-PHL,2009,"Tropical storm ""Mirinae"" (Santi)",MIRINAE,SANTI,802175.0,39.0,22216000.0
2009-0321-PHL,2009,Typhoon Morakot (Kiko),MORAKOT,KIKO,94229.0,26.0,36554000.0
2009-0374-PHL,2009,Tropical Depression Nando,NANDO,,48333.0,3.0,
2009-0414-PHL,2009,"Tropical storm ""Ondoy"" (Ketsana)",ONDOY,KETSANA,4901763.0,501.0,347249000.0
2009-0422-PHL,2009,"Typhoon ""Pepeng"" (Parma)",PEPENG,PARMA,4478491.0,512.0,855922000.0
2009-0521-PHL,2009,"Tropical depression ""Urduja""",URDUJA,,48142.0,4.0,18000.0
2010-0308-PHL,2010,Typhoon Conson (Basyang),CONSON,BASYANG,585474.0,146.0,12480000.0
2010-0383-PHL,2010,Tropical storm Ester (Dianmu),ESTER,DIANMU,1045.0,31.0,
2010-0543-PHL,2010,Typhoon Megi (Juan),MEGI,JUAN,2009026.0,35.0,396680000.0
2011-0157-PHL,2011,Typhoon Bebeng (Aere),BEBENG,AERE,430092.0,37.0,43592000.0
2011-0555-PHL,2011,Typhoon Chedeng (Songda),CHEDENG,SONGDA,446907.0,,601000.0
2011-0203-PHL,2011,"Tropical storm ""Dodong"" (Sarika)",DODONG,SARIKA,1152.0,9.0,
2011-0576-PHL,2011,Tropical Storm Haima (Egay),HAIMA,EGAY,,,
2011-0279-PHL,2011,"Typhoon ""Kabayan"" (Muifa)",KABAYAN,MUIFA,8423.0,11.0,82000.0
2011-0231-PHL,2011,"Topical storm ""Meari"" (Falcon)",MEARI,FALCON,1700089.0,20.0,17946000.0
2011-0341-PHL,2011,Typhoon Mina (Nanmadol),MINA,NANMADOL,403230.0,43.0,48045000.0
2011-0379-PHL,2011,Typhoon Pedring (Nesat),PEDRING,NESAT,3030846.0,103.0,479966000.0
2011-0378-PHL,2011,Typhoon Quiel (Nalgae),QUIEL,NALGAE,1113775.0,25.0,3703000.0
