storm_id,storm_name,year,grid_impact_index_v5r,grid_impact_index_v5r_stoch,rank_v5r_det,rank_v5r_stoch,rank_shift,abs_rank_shift
WP182006,XANGSANE,2006,0.9590048443764728,0.5561027528968594,1.0,3.0,-2.0,2.0
WP312013,HAIYAN,2013,0.8360114777618364,0.4432735700854465,2.0,7.0,-5.0,5.0
WP092014,RAMMASUN,2014,0.5254268734054386,0.3580842293350459,3.0,11.0,-8.0,8.0
WP241988,SKIP,1988,0.5188111271288377,0.2500485614905919,4.0,25.0,-21.0,21.0
WP291995,ANGELA,1995,0.4932560006618378,0.5035723684354442,5.0,4.0,1.0,1.0
WP242006,DURIAN,2006,0.4008010757015932,0.2365812284272519,6.0,29.0,-23.0,23.0
WP282021,RAI,2021,0.3800537443710201,0.2637107338442998,7.0,22.0,-15.0,15.0
WP222020,GONI,2020,0.3764108317991542,0.2485879700995239,8.0,27.0,-19.0,19.0
WP171970,JOAN,1970,0.3703132708235444,0.3253962261940954,9.0,15.0,-6.0,6.0
WP222006,CIMARON,2006,0.2760316216483319,0.1426416115361921,10.0,44.0,-34.0,34.0
WP271990,MIKE,1990,0.2661520379684105,0.3529155690641847,11.0,12.0,-1.0,1.0
WP201952,WILMA,1952,0.2594674224164396,0.2118927401678863,12.0,34.0,-22.0,22.0
WP182022,NORU,2022,0.2359107384027017,0.3919785810325678,13.0,9.0,4.0,4.0
WP292019,KAMMURI,2019,0.2091466010803688,0.1011999176863688,14.0,61.0,-47.0,47.0
WP201998,BABS,1998,0.1831340583599061,0.3977817590432331,15.0,8.0,7.0,7.0
WP302019,PHANFONE,2019,0.1701239963025239,0.3102285422470279,16.0,17.0,-1.0,1.0
WP072008,FENGSHEN,2008,0.1701239963025239,0.4897179619925533,16.0,5.0,11.0,11.0
WP251987,PHYLLIS,1987,0.1526829078110745,0.1232056938400201,18.0,50.0,-32.0,32.0
WP152010,MEGI,2010,0.1517830056743506,0.2025317160556635,19.0,36.0,-17.0,17.0
WP231959,HARRIET,1959,0.148180673937076,0.1761899643657349,20.0,38.0,-18.0,18.0
WP181952,TRIX,1952,0.148180673937076,0.2128683133964452,20.0,33.0,-13.0,13.0
WP361964,LOUISE:MARGE,1964,0.1194097278673315,0.2646001938047558,22.0,21.0,1.0,1.0
WP231987,NINA,1987,0.116855281391707,0.1034193093760196,23.0,57.0,-34.0,34.0
WP262012,BOPHA,2012,0.1137517228319206,0.2050143521571818,24.0,35.0,-11.0,11.0
WP311967,EMMA,1967,0.1128561056964044,0.3224863585177646,25.0,16.0,9.0,9.0
WP021982,NELSON,1982,0.107214605916112,0.256019627706807,26.0,23.0,3.0,3.0
WP281978,RITA,1978,0.1071794242301898,0.0874085028946363,27.0,72.0,-45.0,45.0
WP141955,KATE,1955,0.106256576059275,0.0587422845595958,28.0,102.0,-74.0,74.0
WP302016,NOCK-TEN,2016,0.1036286366838536,0.1470377312841388,29.0,43.0,-14.0,14.0
WP221959,GILDA,1959,0.0952218297245578,0.1130016122073671,30.0,53.0,-23.0,23.0
WP211971,ROSE,1971,0.0940614541080555,0.0715127274596269,31.0,85.0,-54.0,54.0
WP181998,ZEB,1998,0.0940614541080555,0.0698376384232291,31.0,86.0,-55.0,55.0
WP291967,CARLA,1967,0.0940614541080555,0.0536402437432693,31.0,105.0,-74.0,74.0
WP041967,VIOLET,1967,0.0940614541080555,0.0638443253759224,31.0,95.0,-64.0,64.0
WP241952,DELLA,1952,0.0940614541080555,0.0902458016885353,31.0,71.0,-40.0,40.0
WP181970,KATE,1970,0.0896775792185627,0.0992148650690665,36.0,63.0,-27.0,27.0
WP131984,IKE,1984,0.0646593425745046,0.1153177412554926,37.0,51.0,-14.0,14.0
WP252020,VAMCO,2020,0.06156643196529,0.0753476794634028,38.0,82.0,-44.0,44.0
WP112013,UTOR,2013,0.0599052890383567,0.0792731134089283,39.0,79.0,-40.0,40.0
WP222011,NALGAE,2011,0.0416126061115274,0.1017763761514948,40.0,59.0,-19.0,19.0
WP262018,MANGKHUT,2018,0.0304878048780487,0.0255102040816326,41.0,130.0,-89.0,89.0
WP171956,JEAN,1956,0.0182926829268292,0.1315349474840252,42.0,47.0,-5.0,5.0
WP242015,KOPPU,2015,0.0182926829268292,0.2142787528156119,42.0,32.0,10.0,10.0
WP201995,SIBYL,1995,0.0121951219512195,0.9320228091236494,44.0,1.0,43.0,43.0
WP261989,ANGELA,1989,0.0060975609756097,0.0051020408163265,45.0,165.0,-120.0,120.0
WP271984,AGNES,1984,0.0060975609756097,0.2330049549069484,45.0,31.0,14.0,14.0
WP061951,LOUISE,1951,0.0060975609756097,0.0587422845595958,45.0,102.0,-57.0,57.0
WP361993,MANNY,1993,0.0060975609756097,0.0051020408163265,45.0,165.0,-120.0,120.0
WP091987,BETTY,1987,0.0060975609756097,0.0850905938740385,45.0,75.0,-30.0,30.0
WP021994,OWEN,1994,0.0,0.1141972504094988,50.0,52.0,-2.0,2.0
WP371993,NELL,1993,0.0,0.1935782394501506,50.0,37.0,13.0,13.0
WP161993,TASHA,1993,0.0,0.0051020408163265,50.0,165.0,-115.0,115.0
WP061993,KORYN,1993,0.0,0.0051020408163265,50.0,165.0,-115.0,115.0
WP211993,ABE,1993,0.0,0.0,50.0,221.0,-171.0,171.0
WP081994,TIM,1994,0.0,0.0,50.0,221.0,-171.0,171.0
WP261993,FLO,1993,0.0,0.0306122448979591,50.0,127.0,-77.0,77.0
WP301993,IRA,1993,0.0,0.0533537963921474,50.0,109.0,-59.0,59.0
WP351993,LOLA,1993,0.0,0.0956815953863106,50.0,66.0,-16.0,16.0
WP261992,COLLEEN,1992,0.0,0.0,50.0,221.0,-171.0,171.0
WP241992,ANGELA,1992,0.0,0.0,50.0,221.0,-171.0,171.0
WP231992,YVETTE,1992,0.0,0.0,50.0,221.0,-171.0,171.0
WP182000,BILIS,2000,0.0,0.0,50.0,221.0,-171.0,171.0
WP261999,DAN,1999,0.0,0.0051020408163265,50.0,165.0,-115.0,115.0
WP161999,SAM,1999,0.0,0.0051020408163265,50.0,165.0,-115.0,115.0
WP061999,MAGGIE,1999,0.0,0.0,50.0,221.0,-171.0,171.0
WP241998,FAITH,1998,0.0,0.0051020408163265,50.0,165.0,-115.0,115.0
WP111998,VICKI,1998,0.0,0.0794856659936734,50.0,78.0,-28.0,28.0
WP041998,OTTO,1998,0.0,0.0,50.0,221.0,-171.0,171.0
WP271997,IVAN,1997,0.0,0.019277246775847,50.0,142.0,-92.0,92.0
WP181997,AMBER,1997,0.0,0.0,50.0,221.0,-171.0,171.0
WP121997,TINA,1997,0.0,0.0,50.0,221.0,-171.0,171.0
WP321996,ABEL:BETH,1996,0.0,0.0638443253759224,50.0,95.0,-45.0,45.0
WP191995,RYAN,1995,0.0,0.0,50.0,221.0,-171.0,171.0
WP261996,VIOLET,1996,0.0,0.0,50.0,221.0,-171.0,171.0
WP231996,SALLY,1996,0.0,0.0,50.0,221.0,-171.0,171.0
WP181996,NIKI,1996,0.0,0.0,50.0,221.0,-171.0,171.0
WP091996,GLORIA,1996,0.0,0.0,50.0,221.0,-171.0,171.0
WP041996,BART,1996,0.0,0.0,50.0,221.0,-171.0,171.0
WP281995,ZACK,1995,0.0,0.2940569986733248,50.0,20.0,30.0,30.0
WP121995,KENT,1995,0.0,0.0,50.0,221.0,-171.0,171.0
WP061995,GARY,1995,0.0,0.0462999079771112,50.0,115.0,-65.0,65.0
WP381994,AXEL,1994,0.0,0.2483110773559279,50.0,28.0,22.0,22.0
WP341994,TERESA,1994,0.0,0.0518112177541182,50.0,111.0,-61.0,61.0
WP321994,SETH,1994,0.0,0.0051020408163265,50.0,165.0,-115.0,115.0
WP171994,DOUG,1994,0.0,0.0,50.0,221.0,-171.0,171.0
WP291996,ZANE,1996,0.0,0.0051020408163265,50.0,165.0,-115.0,115.0
WP041988,THAD,1988,0.0,0.0,50.0,221.0,-171.0,171.0
WP021988,SUSAN,1988,0.0,0.0,50.0,221.0,-171.0,171.0
WP011988,ROY,1988,0.0,0.0,50.0,221.0,-171.0,171.0
WP211987,LYNN,1987,0.0,0.0,50.0,221.0,-171.0,171.0
WP141987,GERALD,1987,0.0,0.0,50.0,221.0,-171.0,171.0
WP111987,DINAH,1987,0.0,0.0,50.0,221.0,-171.0,171.0
WP101987,CARY,1987,0.0,0.0619538036273387,50.0,97.0,-47.0,47.0
WP081987,ALEX,1987,0.0,0.0,50.0,221.0,-171.0,171.0
WP061987,VERNON,1987,0.0,0.0,50.0,221.0,-171.0,171.0
WP051987,THELMA,1987,0.0,0.0,50.0,221.0,-171.0,171.0
WP271986,MARGE,1986,0.0,0.0495470664030526,50.0,113.0,-63.0,63.0
WP241986,JOE,1986,0.0,0.0,50.0,221.0,-171.0,171.0
WP191986,ELLEN,1986,0.0,0.0,50.0,221.0,-171.0,171.0
WP062000,KAI-TAK,2000,0.0,0.0051020408163265,50.0,165.0,-115.0,115.0
WP131986,WAYNE,1986,0.0,0.0,50.0,221.0,-171.0,171.0
WP071986,PEGGY,1986,0.0,0.0536402437432693,50.0,105.0,-55.0,55.0
WP051986,NANCY,1986,0.0,0.0,50.0,221.0,-171.0,171.0
WP271985,HOPE,1985,0.0,0.0,50.0,221.0,-171.0,171.0
WP241985,FAYE,1985,0.0,0.010204081632653,50.0,149.0,-99.0,99.0
WP211985,DOT,1985,0.0,0.0204081632653061,50.0,137.0,-87.0,87.0
WP201985,BRENDAN,1985,0.0,0.0,50.0,221.0,-171.0,171.0
WP161985,TESS,1985,0.0,0.0,50.0,221.0,-171.0,171.0
WP051985,HAL,1985,0.0,0.0,50.0,221.0,-171.0,171.0
WP281984,BILL,1984,0.0,0.0,50.0,221.0,-171.0,171.0
WP261984,WARREN,1984,0.0,0.0,50.0,221.0,-171.0,171.0
WP031984,ALEX,1984,0.0,0.0,50.0,221.0,-171.0,171.0
WP201983,ORCHID,1983,0.0,0.0,50.0,221.0,-171.0,171.0
WP151986,ABBY,1986,0.0,0.0,50.0,221.0,-171.0,171.0
WP191992,TED,1992,0.0,0.0,50.0,221.0,-171.0,171.0
