storm_id,storm_name,year,grid_impact_index_v4b,grid_impact_index_v5r,rank_v4b,rank_v5r,rank_shift,abs_rank_shift
WP182006,XANGSANE,2006,1.0,0.9590048443764728,1.0,1.0,0.0,0.0
WP291995,ANGELA,1995,0.8136167153813612,0.4932560006618378,2.0,5.0,-3.0,3.0
WP092014,RAMMASUN,2014,0.6838720452007028,0.5254268734054386,3.0,3.0,0.0,0.0
WP312013,HAIYAN,2013,0.4336460926704252,0.8360114777618364,4.0,2.0,2.0,2.0
WP282021,RAI,2021,0.3630388377328167,0.3800537443710201,5.0,7.0,-2.0,2.0
WP222020,GONI,2020,0.3015204614679957,0.3764108317991542,6.0,8.0,-2.0,2.0
WP292019,KAMMURI,2019,0.2710326565899469,0.2091466010803688,7.0,14.0,-7.0,7.0
WP201952,WILMA,1952,0.2618770707714649,0.2594674224164396,8.0,12.0,-4.0,4.0
WP271990,MIKE,1990,0.2258874456940359,0.2661520379684105,9.0,11.0,-2.0,2.0
WP201998,BABS,1998,0.1948779717623845,0.1831340583599061,10.0,15.0,-5.0,5.0
WP182022,NORU,2022,0.1627586198996443,0.2359107384027017,11.0,13.0,-2.0,2.0
WP241988,SKIP,1988,0.1400210410012568,0.5188111271288377,12.0,4.0,8.0,8.0
WP252020,VAMCO,2020,0.1017830101435467,0.06156643196529,13.0,38.0,-25.0,25.0
WP242006,DURIAN,2006,0.0792682926829268,0.4008010757015932,14.0,6.0,8.0,8.0
WP262012,BOPHA,2012,0.0609756097560975,0.1137517228319206,15.0,24.0,-9.0,9.0
WP171970,JOAN,1970,0.048780487804878,0.3703132708235444,16.0,9.0,7.0,7.0
WP231987,NINA,1987,0.048780487804878,0.116855281391707,16.0,23.0,-7.0,7.0
WP181970,KATE,1970,0.0426829268292682,0.0896775792185627,18.0,36.0,-18.0,18.0
WP222006,CIMARON,2006,0.0426829268292682,0.2760316216483319,18.0,10.0,8.0,8.0
WP181952,TRIX,1952,0.0365853658536585,0.148180673937076,20.0,20.0,0.0,0.0
WP231959,HARRIET,1959,0.0365853658536585,0.148180673937076,20.0,20.0,0.0,0.0
WP281978,RITA,1978,0.0304878048780487,0.1071794242301898,22.0,27.0,-5.0,5.0
WP302016,NOCK-TEN,2016,0.0304878048780487,0.1036286366838536,22.0,29.0,-7.0,7.0
WP112013,UTOR,2013,0.0304878048780487,0.0599052890383567,22.0,39.0,-17.0,17.0
