storm_id,storm_name,year,peak_t,peak_affected_population_proxy,peak_affected_population_share_proxy,peak_n_unserved_buses,peak_unserved_bus_share,peak_n_failed_lines_cumulative,peak_failed_line_share_cumulative,final_affected_population_proxy,final_n_unserved_buses,final_n_failed_lines_cumulative,n_timesteps,peak_affected_population_proxy_norm,peak_n_failed_lines_norm,peak_n_unserved_buses_norm,grid_impact_index_v5r_stoch,rank_index
WP201995,SIBYL,1995,11,44084144.73470132,0.2852321534233784,29,0.1510416666666666,40,0.1694915254237288,44084144.73470132,29,40,12,1.0,0.8163265306122449,0.8529411764705882,0.9320228091236494,1
WP161951,AMY,1951,26,28474710.436636254,0.1842363739804089,34,0.1770833333333333,36,0.1525423728813559,28474710.436636254,34,36,31,0.6459172704380963,0.7346938775510204,1.0,0.7212238316506129,2
WP182006,XANGSANE,2006,11,16655797.22243917,0.1077659312056434,18,0.09375,49,0.2076271186440678,16655797.22243917,18,49,14,0.3778183136516285,1.0,0.5294117647058824,0.5561027528968594,3
WP291995,ANGELA,1995,9,16494136.81305027,0.1067199599846796,17,0.0885416666666666,40,0.1694915254237288,16494136.81305027,17,40,10,0.3741512263039716,0.8163265306122449,0.5,0.5035723684354442,4
WP072008,FENGSHEN,2008,14,21544609.726079985,0.139397406115464,11,0.0572916666666666,29,0.1228813559322034,21544609.726079985,11,29,17,0.4887156109239635,0.5918367346938775,0.3235294117647059,0.4897179619925533,5
WP312013,HAIYAN,2013,5,19320824.777910635,0.1250091272153282,18,0.09375,23,0.097457627118644,19320824.777910635,18,23,6,0.4382715122224438,0.4693877551020408,0.5294117647058824,0.4597216108148589,6
WP312000,BEBINCA,2000,20,13851998.298055172,0.089624860084019,12,0.0625,42,0.1779661016949152,13851998.298055172,12,42,22,0.3142172402666898,0.8571428571428571,0.3529411764705882,0.4557572349163163,7
WP201998,BABS,1998,20,13715849.78843856,0.088743955332049,12,0.0625,31,0.1313559322033898,13715849.78843856,12,31,25,0.3111288621108708,0.6326530612244898,0.3529411764705882,0.3977817590432331,8
WP182022,NORU,2022,19,15335792.40102762,0.0992252683436034,8,0.0416666666666666,29,0.1228813559322034,15335792.40102762,8,29,20,0.3478754661867327,0.5918367346938775,0.2352941176470588,0.3919785810325678,9
WP031983,VERA,1983,10,16223475.001727462,0.1049687305629073,12,0.0625,17,0.0720338983050847,16223475.001727462,12,17,12,0.3680115628727844,0.3469387755102041,0.3529411764705882,0.3604828080718099,10
