storm_id,storm_name,year,t,n_track_points_used,n_failed_lines_cumulative,failed_line_share_cumulative,n_unserved_buses,unserved_bus_share,affected_population_proxy,affected_population_share_proxy,n_components,n_served_components,n_unserved_components,max_line_hazard_this_step
WP031962,HOPE,1962,0,1,0,0.0,0,0.0,0.0,0.0,1,1,0,0.0259566281140686
WP031962,HOPE,1962,1,2,0,0.0,0,0.0,0.0,0.0,1,1,0,0.04930990456763441
WP031962,HOPE,1962,2,3,0,0.0,0,0.0,0.0,0.0,1,1,0,0.04930990456763441
WP031962,HOPE,1962,3,4,0,0.0,0,0.0,0.0,0.0,1,1,0,0.23507045738590754
WP031962,HOPE,1962,4,5,0,0.0,0,0.0,0.0,0.0,1,1,0,0.23507045738590754
WP031962,HOPE,1962,5,6,0,0.0,0,0.0,0.0,0.0,1,1,0,0.23507045738590754
WP031962,HOPE,1962,6,7,0,0.0,0,0.0,0.0,0.0,1,1,0,0.23507045738590754
WP031962,HOPE,1962,7,8,0,0.0,0,0.0,0.0,0.0,1,1,0,0.23507045738590754
WP031962,HOPE,1962,8,9,0,0.0,0,0.0,0.0,0.0,1,1,0,0.23507045738590754
WP031962,HOPE,1962,9,10,0,0.0,0,0.0,0.0,0.0,1,1,0,0.23507045738590754
WP031962,HOPE,1962,10,11,0,0.0,0,0.0,0.0,0.0,1,1,0,0.23507045738590754
WP031962,HOPE,1962,11,12,0,0.0,0,0.0,0.0,0.0,1,1,0,0.23507045738590754
WP031962,HOPE,1962,12,13,0,0.0,0,0.0,0.0,0.0,1,1,0,0.23507045738590754
WP031962,HOPE,1962,13,14,0,0.0,0,0.0,0.0,0.0,1,1,0,0.23507045738590754
WP031962,HOPE,1962,14,15,0,0.0,0,0.0,0.0,0.0,1,1,0,0.23507045738590754
WP031962,HOPE,1962,15,16,0,0.0,0,0.0,0.0,0.0,1,1,0,0.23507045738590754
WP031962,HOPE,1962,16,17,0,0.0,0,0.0,0.0,0.0,1,1,0,0.23507045738590754
WP031962,HOPE,1962,17,18,0,0.0,0,0.0,0.0,0.0,1,1,0,0.23507045738590754
