storm_id,storm_name,year,t,n_track_points_used,n_failed_lines_cumulative,failed_line_share_cumulative,n_failed_lines_new,n_unserved_buses,unserved_bus_share,affected_population_proxy,affected_population_share_proxy,n_components,n_served_components,n_unserved_components,max_line_hazard_this_step,mean_line_p_fail_this_step,max_line_p_fail_this_step
WP121948,GERTRUDE,1948,0,1,0,0.0,0,0,0.0,0.0,0.0,1,1,0,0.0,5.017216468376421e-05,5.0172164683764205e-05
WP121948,GERTRUDE,1948,1,2,0,0.0,0,0,0.0,0.0,0.0,1,1,0,0.0,5.017216468376421e-05,5.0172164683764205e-05
WP121948,GERTRUDE,1948,2,3,0,0.0,0,0,0.0,0.0,0.0,1,1,0,0.0,5.017216468376421e-05,5.0172164683764205e-05
WP121948,GERTRUDE,1948,3,4,0,0.0,0,0,0.0,0.0,0.0,1,1,0,0.0,5.017216468376421e-05,5.0172164683764205e-05
WP121948,GERTRUDE,1948,4,5,0,0.0,0,0,0.0,0.0,0.0,1,1,0,0.039168601149981976,5.0389821141343575e-05,0.00010153908867249509
WP121948,GERTRUDE,1948,5,6,0,0.0,0,0,0.0,0.0,0.0,1,1,0,0.054992642672074786,5.112304094496034e-05,0.0001349957263435003
WP121948,GERTRUDE,1948,6,7,0,0.0,0,0,0.0,0.0,0.0,1,1,0,0.0565915890465861,6.121287123389407e-05,0.00013893694737419202
WP121948,GERTRUDE,1948,7,8,0,0.0,0,0,0.0,0.0,0.0,1,1,0,0.10317126225401253,7.878258417781724e-05,0.0003212668094927491
WP121948,GERTRUDE,1948,8,9,0,0.0,0,0,0.0,0.0,0.0,1,1,0,0.3484024171590104,0.0004286838137797942,0.025862548621249853
WP121948,GERTRUDE,1948,9,10,0,0.0,0,0,0.0,0.0,0.0,1,1,0,0.3484024171590104,0.0008163685698879378,0.025862548621249853
WP121948,GERTRUDE,1948,10,11,0,0.0,0,0,0.0,0.0,0.0,1,1,0,0.3484024171590104,0.0008717185312220835,0.025862548621249853
WP121948,GERTRUDE,1948,11,12,0,0.0,0,0,0.0,0.0,0.0,1,1,0,0.3484024171590104,0.0008717185312220835,0.025862548621249853
WP121948,GERTRUDE,1948,12,13,0,0.0,0,0,0.0,0.0,0.0,1,1,0,0.3484024171590104,0.0008717185312220835,0.025862548621249853
WP121948,GERTRUDE,1948,13,14,0,0.0,0,0,0.0,0.0,0.0,1,1,0,0.3484024171590104,0.0008717185312220835,0.025862548621249853
WP121948,GERTRUDE,1948,14,15,0,0.0,0,0,0.0,0.0,0.0,1,1,0,0.3484024171590104,0.0008717185312220835,0.025862548621249853
