storm_id,storm_name,year,t,n_track_points_used,n_failed_lines_cumulative,failed_line_share_cumulative,n_failed_lines_new,n_unserved_buses,unserved_bus_share,affected_population_proxy,affected_population_share_proxy,n_components,n_served_components,n_unserved_components,max_line_hazard_this_step,mean_line_p_fail_this_step,max_line_p_fail_this_step
WP381994,AXEL,1994,0,1,0,0.0,0,0,0.0,0.0,0.0,1,1,0,0.0,5.017216468376421e-05,5.0172164683764205e-05
WP381994,AXEL,1994,1,2,0,0.0,0,0,0.0,0.0,0.0,1,1,0,0.06318354764751259,5.1914472362801324e-05,0.00015643771846064562
WP381994,AXEL,1994,2,3,0,0.0,0,0,0.0,0.0,0.0,1,1,0,0.10804455775385573,6.599226359074136e-05,0.00035071075547414197
WP381994,AXEL,1994,3,4,0,0.0,0,0,0.0,0.0,0.0,1,1,0,0.33776359628132535,0.0004517690659347461,0.021451930564480248
WP381994,AXEL,1994,4,5,1,0.00423728813559322,1,0,0.0,0.0,0.0,2,2,0,0.4403357956176989,0.002688489011304495,0.12196464220969853
WP381994,AXEL,1994,5,6,1,0.00423728813559322,0,0,0.0,0.0,0.0,2,2,0,0.4403357956176989,0.003087757176259872,0.12196464220969853
WP381994,AXEL,1994,6,7,2,0.00847457627118644,1,0,0.0,0.0,0.0,3,3,0,0.4403357956176989,0.0032277505218802818,0.12196464220969853
WP381994,AXEL,1994,7,8,4,0.01694915254237288,2,0,0.0,0.0,0.0,5,5,0,0.4403357956176989,0.003231112496255019,0.12196464220969853
WP381994,AXEL,1994,8,9,5,0.0211864406779661,1,1,0.005208333333333333,827468.4205751419,0.005353865906004598,6,5,1,0.4403357956176989,0.003231260389030194,0.12196464220969853
WP381994,AXEL,1994,9,10,7,0.029661016949152543,2,3,0.015625,5326844.791516423,0.0344656206892528,8,5,3,0.4403357956176989,0.003231260389030194,0.12196464220969853
WP381994,AXEL,1994,10,11,7,0.029661016949152543,0,3,0.015625,5326844.791516423,0.0344656206892528,8,5,3,0.4403357956176989,0.003231260389030194,0.12196464220969853
WP381994,AXEL,1994,11,12,7,0.029661016949152543,0,3,0.015625,5326844.791516423,0.0344656206892528,8,5,3,0.4403357956176989,0.003231260389030194,0.12196464220969853
WP381994,AXEL,1994,12,13,7,0.029661016949152543,0,3,0.015625,5326844.791516423,0.0344656206892528,8,5,3,0.4403357956176989,0.003231260389030194,0.12196464220969853
WP381994,AXEL,1994,13,14,8,0.03389830508474576,1,4,0.020833333333333332,6770751.702199101,0.04380795181431888,9,5,4,0.4403357956176989,0.003231260389030194,0.12196464220969853
WP381994,AXEL,1994,14,15,8,0.03389830508474576,0,4,0.020833333333333332,6770751.702199101,0.04380795181431888,9,5,4,0.4403357956176989,0.003231260389030194,0.12196464220969853
WP381994,AXEL,1994,15,16,8,0.03389830508474576,0,4,0.020833333333333332,6770751.702199101,0.04380795181431888,9,5,4,0.4403357956176989,0.003231260389030194,0.12196464220969853
WP381994,AXEL,1994,16,17,9,0.038135593220338986,1,9,0.046875,11953182.761364385,0.07733919030992104,10,5,5,0.4403357956176989,0.003231260389030194,0.12196464220969853
